job_title,role_category,open_roles,top_locations,experience_level,work_mode,skills,job_links
B2B Events Sales & Marketing Manager,Marketing,1,Clevedon,Senior,On-site,"['Campaigns', 'SEO']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5598789970?se=1uV2z8gA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=DE9E04BC1AFA834819E35BD1E93DF7B8518379F2""}]"
Baked Product Development Manager,Product,1,Belasis Hall Technology Park,Mid,On-site,"['Roadmapping', 'Stakeholder Management']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5574808900?se=sgdRwMgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=F526D33046DF76D54707D5A049B1417C1B4D8461""}]"
Band 3 Hr Administrator,HR,1,Armagh,Mid,Hybrid,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5546804334?se=ynHH5cgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=2C8A5BBC459B54401AA43D1669F236D51722A3BD""}]"
Banking Analyst,Finance,1,Glasgow,Mid,Hybrid,"['Accounting', 'Reporting']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5607172172?utm_medium=api&utm_source=026f28a2""}]"
Banking Single Customer View Data Analyst / Auditor London £38K,Data,1,London,Mid,Hybrid,"['Data Analysis', 'SQL']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5581096281?se=PMCcucgA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=E2A7DB74645D65A31B87DDD6C717A645575070CE""}]"
Bar & Operations Manager,Business,1,UK,Mid,On-site,"['Analysis', 'Communication']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5610490750?se=jkTCzMgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=D202D4959CFE0E82DC8DC2EE567412ACD71A05B9""}]"
Bid Writer (Pharma / Medical Devices),Healthcare,1,Bristol,Mid,Hybrid,['Clinical Knowledge'],"[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5584569077?se=bhvh3cgA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=9090ED8743F27918F84FB504C75BEA00101EACD5""}]"
Bid Writer Pharma / Medical Devices,Healthcare,1,Bristol,Mid,Hybrid,['Clinical Knowledge'],"[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5585083602?se=bhvh3cgA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=1D13180C071F2528164EA68F1FA75D32A93AA7EE""}]"
Binding Authority Account Manager - Data Analyst (Broker),Data,1,London,Senior,Hybrid,"['Data Analysis', 'SQL']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5596422417?se=5FtQuMgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=24084FD9274B8BE586EFDA642FF9BBC50D94219D""}]"
Biostatistician Ii,Healthcare,1,Reading,Senior,On-site,['Clinical Knowledge'],"[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5482297527?utm_medium=api&utm_source=026f28a2""}]"
